date,rainfall,tempmax,tempmin
2015-01-01,2.0795758,23.000713,12.394957
2015-01-02,3.0659604,23.127247,13.361515
2015-01-03,2.5568006,22.923555,14.027359
2015-01-04,2.0280952,23.492304,13.442063
2015-01-05,0.79010755,23.630041,12.164774
2015-01-06,0.1495642,24.124043,10.783683
2015-01-07,0.002898141,24.113424,10.457525
2015-01-08,0.04887781,23.900396,10.505843
2015-01-09,0.088836916,23.619413,10.284516
2015-01-10,0.027454592,23.73811,9.451249
2015-01-11,0.0,23.56349,9.256298
2015-01-12,0.0,23.84816,9.094281
2015-01-13,0.068082444,23.939907,9.021463
2015-01-14,0.5924237,23.425241,9.863566
2015-01-15,0.38959193,23.88881,9.677252
2015-01-16,0.0016858119,24.00821,10.020536
2015-01-17,0.0024909715,23.818422,10.032267
2015-01-18,0.06639424,23.578604,9.518277
2015-01-19,0.015214062,23.748764,9.580253
2015-01-20,0.013409408,23.658302,10.168179
2015-01-21,0.058055513,23.808662,11.088691
2015-01-22,1.6877623,23.580458,11.579462
2015-01-23,1.368298,23.87767,11.671601
2015-01-24,0.05767913,23.711912,11.7423
2015-01-25,0.08842311,23.527355,11.789382
2015-01-26,0.641066,23.572195,11.602381
2015-01-27,0.5436909,23.612484,11.327692
2015-01-28,0.26960066,23.265894,11.104569
2015-01-29,0.34911805,23.544762,11.138693
2015-01-30,0.57536644,23.942099,10.748744
2015-01-31,0.41171974,24.770061,9.98668
2015-02-01,0.09726734,25.419273,10.29768
2015-02-02,0.59651256,26.04039,11.574608
2015-02-03,1.8358059,26.332941,12.242066
2015-02-04,1.0465243,26.297878,11.849354
2015-02-05,0.024639403,25.976728,11.765164
2015-02-06,0.0022803515,26.196693,11.43675
2015-02-07,0.05674287,26.490547,11.579879
2015-02-08,0.5953601,26.106167,12.39854
2015-02-09,0.32391942,26.403244,12.272423
2015-02-10,0.04736348,26.521479,12.59444
2015-02-11,0.3042669,26.509245,12.445873
2015-02-12,0.20589286,26.898163,12.344649
2015-02-13,0.44905797,27.6204,12.498707
2015-02-14,0.17217593,28.422878,12.893972
2015-02-15,0.040819377,28.874413,13.418858
2015-02-16,0.48983634,29.091982,14.192193
2015-02-17,0.83984345,29.047316,14.446528
2015-02-18,0.18581858,29.191107,14.862687
2015-02-19,1.3153065,28.711452,15.323784
2015-02-20,2.3019445,28.928053,15.199337
2015-02-21,0.79638124,29.909315,15.114761
2015-02-22,0.3141385,30.390862,15.554617
2015-02-23,0.014635464,30.868439,15.620794
2015-02-24,0.009909689,30.590685,16.15749
2015-02-25,2.5111825,29.50466,16.26736
2015-02-26,2.1818607,28.617517,15.117809
2015-02-27,1.2119508,28.858294,14.549283
2015-02-28,0.8312164,28.599148,15.583282
2015-03-01,4.0911736,24.334986,16.07744
2015-03-02,11.359959,24.859787,15.725944
2015-03-03,4.2766256,26.24402,14.737696
2015-03-04,1.5018257,26.628973,14.073159
2015-03-05,1.3698997,27.39952,13.799387
2015-03-06,1.0574327,28.540955,14.393384
2015-03-07,0.33983293,28.597425,14.708115
2015-03-08,1.1376731,28.84923,15.334249
2015-03-09,3.0047364,28.726969,14.8508415
2015-03-10,0.78716266,29.433407,14.73583
2015-03-11,0.16174538,30.233242,14.740464
2015-03-12,0.36131185,30.399345,15.433699
2015-03-13,0.32807386,30.401857,16.238821
2015-03-14,0.92042714,29.515835,16.6629
2015-03-15,3.4950688,27.984715,16.845007
2015-03-16,4.3209853,28.786041,16.290474
2015-03-17,2.3688436,29.794281,16.15068
2015-03-18,0.40581715,30.064001,16.522758
2015-03-19,0.3040729,30.965399,16.169111
2015-03-20,0.12367011,32.126553,16.643095
2015-03-21,0.00043862977,33.02724,17.377655
2015-03-22,0.0,33.82637,18.09611
2015-03-23,0.0006099505,34.32111,18.852715
2015-03-24,0.008187874,34.628193,19.302103
2015-03-25,0.315872,34.808193,19.702427
2015-03-26,0.20817196,34.740486,20.28834
2015-03-27,0.53525805,34.141308,20.393864
2015-03-28,1.0610452,34.10994,20.106852
2015-03-29,2.3122966,33.215866,20.759886
2015-03-30,3.5040364,31.22909,20.287857
2015-03-31,2.9589765,31.575176,19.076988
2015-04-01,1.8793098,32.449543,19.336462
2015-04-02,3.434338,32.953533,19.821568
2015-04-03,3.4626977,32.797062,20.007376
2015-04-04,3.4209075,32.049614,19.985117
2015-04-05,2.6567872,32.119503,19.621214
2015-04-06,1.957562,32.481052,19.632467
2015-04-07,1.2150433,31.913967,19.98445
2015-04-08,2.1943223,32.963463,19.786026
2015-04-09,1.5089879,33.751144,19.895588
2015-04-10,1.2337689,34.25056,20.099087
